VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,IS_BUGGY
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,385,800,364,2.5,30,8,2.5,770,364,32.083333333333336,0,12,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,76,156,76,1.0,4,2,1.0,152,76,19.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,159,326,158,1.3333333333333333,8,2,1.3333333333333333,318,158,26.5,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,737,1772,736,49.666666666666664,298,144,49.666666666666664,1474,736,122.83333333333333,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,74,152,74,1.0,4,2,1.0,148,74,18.5,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,94,194,93,1.0,6,2,1.0,188,93,15.666666666666666,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22,44,22,0.0,0,0,0.0,44,22,11.0,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,427,878,426,4.0,24,10,4.0,854,426,71.16666666666667,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,124,62,0.0,0,0,0.0,124,62,31.0,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,58,118,58,0.5,2,1,0.5,116,58,14.5,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,91,192,91,2.5,10,5,2.5,182,91,22.75,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,27,56,27,0.5,2,1,0.5,54,27,6.75,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,77,158,77,1.0,4,2,1.0,154,77,19.25,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,704,1484,703,12.666666666666666,76,36,12.666666666666666,1408,703,117.33333333333333,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,63,134,63,2.0,8,4,2.0,126,63,15.75,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,37,74,37,0.0,0,0,0.0,74,37,18.5,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,64,130,64,0.5,2,1,0.5,128,64,16.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,124,254,124,1.5,6,3,1.5,248,124,31.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,160,334,159,1.75,14,3,1.75,320,159,20.0,0,8,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,36,82,36,2.5,10,5,2.5,72,36,9.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,58,120,57,1.0,4,2,1.0,116,57,14.5,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,62,124,62,0.0,0,0,0.0,124,62,31.0,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,130,284,129,3.0,24,8,3.0,260,129,16.25,0,8,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,74,152,73,1.0,4,2,1.0,148,73,18.5,0,4,False
